,timestamp,minute,created_at,province,location_name,api_location,weather_main,weather_description,main.temp,main.humidity,wind.speed,precipitation,year,month,day,hour
0,2025-05-13T10:30:04.272Z,30,2025-05-13T03:48:04.214Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,32.220001220703125,83,2.609999895095825,0,2025,5,13,10
15,2025-05-13T10:45:01.972Z,45,2025-05-13T04:03:01.928Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,29.6299991607666,76,2.609999895095825,0,2025,5,13,10
30,2025-05-13T10:00:02.105Z,0,2025-05-13T03:18:02.033Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,31.670000076293945,84,2.509999990463257,0,2025,5,13,10
45,2025-05-13T10:15:06.730Z,15,2025-05-13T03:33:06.676Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,31.670000076293945,85,2.509999990463257,0,2025,5,13,10
60,2025-05-13T11:30:09.587Z,30,2025-05-13T04:48:09.534Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,31.65999984741211,28,3.2799999713897705,0,2025,5,13,11
75,2025-05-13T11:45:10.691Z,45,2025-05-13T05:03:10.593Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,28.260000228881836,78,3.2799999713897705,0,2025,5,13,11
90,2025-05-13T11:00:09.187Z,0,2025-05-13T04:18:09.026Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,28.31999969482422,58,2.609999895095825,0,2025,5,13,11
105,2025-05-13T11:15:01.854Z,15,2025-05-13T04:33:01.808Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,26.100000381469727,56,2.609999895095825,0,2025,5,13,11
120,2025-05-13T12:45:10.293Z,45,2025-05-13T06:03:10.103Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,26.65999984741211,66,3.200000047683716,0,2025,5,13,12
135,2025-05-13T12:15:01.602Z,15,2025-05-13T05:33:01.542Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,28.329999923706055,44,3.4600000381469727,0,2025,5,13,12
150,2025-05-13T12:00:08.943Z,0,2025-05-13T05:18:08.835Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,25.56999969482422,77,3.4600000381469727,0,2025,5,13,12
165,2025-05-13T12:30:03.594Z,30,2025-05-13T05:48:03.529Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,26.100000381469727,59,3.200000047683716,0,2025,5,13,12
180,2025-05-13T13:45:01.197Z,45,2025-05-13T07:03:01.138Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,26.65999984741211,70,1.840000033378601,0,2025,5,13,13
195,2025-05-13T13:30:07.505Z,30,2025-05-13T06:48:07.346Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,26.65999984741211,70,1.840000033378601,0,2025,5,13,13
210,2025-05-13T13:00:03.137Z,0,2025-05-13T06:18:03.025Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,27.770000457763672,76,3.200000047683716,0,2025,5,13,13
225,2025-05-13T14:55:15.146Z,55,2025-05-13T08:13:15.051Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,28.59000015258789,59,1.4800000190734863,0,2025,5,13,14
240,2025-05-13T14:30:01.359Z,30,2025-05-13T07:48:01.310Z,Bangkok,Satitram Alumni,Bang Kapi,Clouds,overcast clouds,27.209999084472656,86,1.4800000190734863,0,2025,5,13,14
